First_pokemon,Second_pokemon,Winner,HP_diff,Atk_diff,Def_diff,SpAtk_diff,SpDef_diff,Spd_diff,1_2_Atk_Def,1_2_Atk_HP,1_2_SpAtk_SpDef,1_2_SpAtk_HP,2_1_Atk_Def,2_1_Atk_HP,2_1_SpAtk_SpDef,2_1_SpAtk_HP,Dmg_mul_1,Dmg_mul_2,Lgnd_1,Lgnd_2,Prio,Pkmn_1_win
266,298,298,-20,-6,10,-15,10,-19,24,-6,5,-25,20,20,10,10,1.0,4.0,0,0,1,0
702,701,701,0,-39,-18,18,39,0,0,-1,0,-1,57,38,-57,-19,2.0,1.0,1,1,0,0
191,668,668,-20,-35,10,-45,10,0,-35,-35,-15,5,-10,20,20,70,1.0,1.0,0,0,0,0
237,683,683,-37,-80,-50,10,-50,-28,-50,-37,-20,-7,80,80,20,20,0.5,1.0,0,0,1,0
151,231,151,50,50,-105,105,-160,50,-170,40,-115,95,-115,-60,-60,-60,4.0,1.0,0,0,0,1
657,752,657,-10,-3,-100,7,-100,5,-103,-13,-93,-3,0,0,0,0,1.0,1.0,0,0,0,1
192,134,134,-25,0,10,-45,-50,-25,15,-15,-25,5,5,10,70,75,1.0,2.0,0,0,1,0
73,545,545,-80,-20,-70,-65,-85,-55,-40,-70,-85,-115,50,30,65,30,1.0,1.0,0,1,1,0
220,763,763,0,12,28,-23,-28,-29,3,15,-28,-15,-37,3,23,8,1.0,1.0,0,0,1,0
302,31,31,5,-25,-10,5,-20,-5,-10,-5,5,20,25,15,20,10,1.0,4.0,0,0,1,0
442,130,130,10,10,-25,-40,-25,-25,0,25,-25,0,15,5,40,30,1.0,1.0,0,0,1,0
701,624,701,53,99,5,17,25,78,44,91,7,34,-60,-61,-35,-36,1.0,1.0,1,0,0,1
15,283,283,-50,-90,-35,-60,-65,-30,-70,-80,-65,-75,55,60,60,35,1.0,1.0,0,0,1,0
151,87,151,-25,-15,15,15,-10,25,-50,-35,35,20,-50,5,30,30,1.0,2.0,0,0,0,1
269,462,269,30,70,100,1,70,5,114,94,45,25,-56,-6,-26,-6,4.0,2.0,0,0,0,1
763,448,448,-27,-32,11,3,12,-21,2,-24,7,-19,23,35,-8,5,1.0,1.0,0,0,1,0
143,263,263,40,0,5,-30,-5,-55,10,-5,-15,-5,5,-45,20,-15,1.0,2.0,0,1,1,0
365,240,240,-55,-60,-20,-20,15,0,-40,-60,-20,-60,40,55,-15,15,1.0,2.0,0,0,0,0
499,774,499,20,95,-62,90,-80,62,-5,95,-10,90,-38,-20,-20,-20,4.0,1.0,0,0,0,1
563,578,563,-21,45,0,1,-25,41,15,-16,13,-8,-30,-40,37,12,1.0,1.0,0,0,0,1
440,687,687,-1,-59,-32,21,6,-20,-34,1,11,16,57,61,-16,-4,1.0,1.0,0,0,1,0
373,441,441,26,-8,-15,-35,-30,0,-10,-6,-25,-8,13,-24,40,1,2.0,1.0,0,0,0,0
654,671,671,-5,-15,-40,-80,-5,-40,-50,-20,-25,5,5,0,60,90,4.0,2.0,0,0,1,0
121,355,121,35,10,20,-100,-60,20,30,60,-60,-25,0,15,100,40,2.0,2.0,0,0,0,1
609,649,649,-10,-40,-10,-5,-10,-73,-25,-20,10,15,25,30,25,30,0.5,2.0,0,0,1,0
270,708,270,6,-60,10,-30,54,20,-30,-10,-10,-10,20,44,-34,14,1.0,2.0,1,1,0,1
460,568,568,-25,-31,15,14,-5,-44,-11,-6,-31,-26,5,50,-40,-15,1.0,1.0,0,0,1,0
626,767,767,-4,-11,26,8,0,-26,1,20,8,-5,-14,35,0,-9,2.0,1.0,0,0,1,0
139,451,139,-5,-20,16,-55,-9,40,21,20,-39,-40,25,45,25,20,1.0,1.0,0,0,0,1
694,747,694,-16,61,36,-35,-33,5,33,35,-33,-26,-64,-10,35,25,2.0,0.5,0,0,0,1
455,549,549,-3,65,-40,-35,-50,-42,65,65,-35,-35,40,3,50,3,1.0,2.0,0,0,1,0
181,301,301,-5,-50,-10,5,60,-40,-25,-25,5,-5,35,30,-60,-5,1.0,2.0,0,0,1,0
208,184,184,-10,-15,-25,35,5,-100,-5,-10,25,20,35,15,-15,-5,0.25,2.0,0,0,1,0
536,365,536,5,25,47,65,32,36,5,20,30,60,-67,-10,-67,-10,2.0,1.0,0,0,0,1
260,381,381,-30,-50,-63,0,-25,38,-25,0,-10,-5,88,80,15,25,1.0,2.0,0,0,0,0
471,269,269,11,-81,-82,-3,-38,-32,-67,-17,-28,-8,96,53,13,-16,2.0,1.0,0,0,1,0
621,287,287,12,45,29,5,29,-12,34,37,-6,-3,-40,-20,-40,-20,2.0,1.0,0,0,1,0
406,134,406,-22,-20,20,-75,-30,2,-5,-35,-55,-25,-5,7,50,72,1.0,1.0,0,0,0,1
592,503,503,33,-30,16,20,51,-45,-50,-10,5,10,-36,-13,-66,-43,2.0,2.0,0,0,1,0
564,242,242,10,-10,4,-30,4,-23,20,20,0,0,26,20,26,20,1.0,1.0,0,0,1,0
579,242,242,15,-10,15,-29,-5,-22,20,20,1,1,15,15,35,15,1.0,1.0,0,0,1,0
200,719,200,44,-11,15,12,35,12,-15,-6,15,4,-19,-39,-32,-52,1.0,2.0,0,0,0,1
376,135,376,-25,-43,-2,-55,-15,-50,-17,-25,-45,-25,28,43,25,55,2.0,0.0,0,0,1,1
76,441,441,-34,-11,-53,-41,-71,-20,-13,-9,-31,-14,51,36,81,61,1.0,1.0,0,0,1,0
667,645,645,4,-10,-10,5,-20,-29,-10,4,10,34,10,10,25,25,1.0,1.0,0,0,1,0
475,400,475,-35,6,-26,-31,-14,40,-4,-24,-26,-46,16,5,19,20,1.0,1.0,0,0,0,1
3,737,737,-6,14,11,-9,34,-26,10,-4,34,14,-15,-12,9,29,1.0,2.0,0,0,1,0
435,45,435,-20,64,85,30,60,36,89,-6,50,-40,-60,-50,-40,-50,1.0,1.0,0,0,0,1
231,146,146,-110,-55,170,-100,135,-60,-50,-120,-85,-120,-165,45,-120,90,1.0,2.0,0,0,1,0
510,715,715,-31,-10,-40,-67,-30,-68,-28,-29,-28,-29,22,12,69,69,2.0,2.0,0,0,1,0
456,260,260,-15,-33,81,-28,33,-53,5,-3,-13,-3,-43,45,-18,40,2.0,1.0,0,0,1,0
164,751,751,46,40,50,4,50,70,140,130,104,94,50,44,50,44,2.0,2.0,1,0,0,0
424,754,424,-1,78,68,1,1,61,78,49,11,-1,-68,-28,9,-1,1.0,1.0,1,0,0,1
258,779,258,2,-40,-33,35,5,27,-18,-13,25,42,55,25,-15,5,2.0,2.0,0,0,0,1
360,208,208,-30,25,-10,-60,-40,-20,45,25,-40,-30,30,30,60,60,0.5,2.0,0,0,1,0
723,646,646,-12,-36,-27,-20,-25,-6,-26,-12,-5,19,37,36,40,51,2.0,0.5,0,0,1,0
384,533,533,20,5,-37,-35,-37,-16,-37,20,-37,20,-5,-5,35,35,1.0,1.0,0,0,1,0
734,673,673,-21,-95,-10,-13,-20,-38,-48,-44,-23,-39,57,72,10,-5,1.0,1.0,0,0,1,0
141,721,141,7,18,-43,-14,25,17,3,37,-15,-28,28,12,-26,-21,4.0,1.0,0,0,0,1
244,741,244,-21,-10,-3,3,-12,23,7,-11,8,-1,20,20,17,17,2.0,0.5,0,0,0,1
509,217,509,-3,-52,2,-12,72,2,-28,-28,12,12,22,27,-48,27,1.0,1.0,0,0,0,1
633,44,633,-13,29,-15,39,-40,5,30,32,20,47,16,16,21,21,1.0,1.0,0,0,0,1
595,719,595,49,79,30,7,20,7,75,84,10,-1,-34,-44,-17,-57,1.0,1.0,0,0,0,1
606,40,606,-21,-2,12,-30,-6,27,23,19,-20,-26,13,42,16,25,1.0,2.0,0,0,0,1
368,598,368,-32,20,-15,-25,-15,16,40,10,-15,-45,35,22,25,12,1.0,1.0,0,0,0,1
746,584,746,7,-27,-31,38,35,53,-37,-7,38,8,21,13,-35,-37,1.0,1.0,0,0,0,1
350,187,350,50,100,55,75,30,45,125,120,75,90,-30,-30,-30,-35,1.0,2.0,0,0,0,1
303,198,303,-15,-30,5,-5,-30,15,-45,-25,-15,10,-20,20,20,30,2.0,1.0,0,0,0,1
169,701,701,-11,-47,10,11,10,-28,-8,-9,-7,-8,29,49,-28,-8,2.0,1.0,0,1,1,0
569,115,115,-9,-70,-16,15,-73,-21,-3,0,-60,0,83,79,-2,-6,0.5,2.0,0,0,1,0
231,172,172,-58,-74,152,-99,145,-95,-68,-68,-75,-68,-146,64,-121,89,2.0,1.0,0,0,1,0
71,440,71,-9,-16,-23,54,19,70,-18,-14,59,71,21,11,-14,26,1.0,1.0,0,0,0,1
659,610,610,-26,-10,16,-86,11,-80,-25,-20,-51,-46,-31,16,24,66,1.0,0.25,0,0,1,0
570,557,557,-11,13,-45,13,-45,-7,-7,13,-7,13,25,11,25,11,1.0,1.0,0,0,1,0
712,40,712,44,68,23,35,15,10,93,89,45,39,2,-23,-5,-40,2.0,1.0,1,0,0,1
451,352,451,-90,30,34,5,34,10,75,-50,50,-75,11,10,11,10,2.0,1.0,0,0,0,1
661,95,95,-50,-15,-10,-25,-35,-40,-25,-35,-50,-45,0,30,10,30,1.0,1.0,0,0,1,0
540,4,540,-5,25,-53,3,-50,35,2,45,5,45,30,25,52,47,2.0,1.0,1,0,0,1
130,319,130,-54,-26,12,-1,12,37,2,-39,27,-14,16,41,16,41,1.0,1.0,0,0,0,1
125,418,418,25,45,10,-50,-30,-10,35,45,-70,-20,-20,-25,10,5,1.0,1.0,0,1,1,0
309,276,276,0,-50,-13,-65,-3,-85,-15,-10,-5,10,48,40,63,75,2.0,1.0,0,0,1,0
579,612,612,0,-17,15,1,-5,-22,20,5,1,-14,22,22,5,-15,1.0,1.0,0,0,1,0
716,80,80,20,7,12,48,8,-10,12,-3,8,48,-7,-30,-48,-20,2.0,1.0,0,0,1,0
482,535,535,-5,-35,-57,-40,-57,-41,-77,-20,-42,15,15,20,55,60,1.0,1.0,0,0,1,0
376,37,37,-50,-52,-32,-35,-15,-21,-47,-50,-45,-50,37,52,5,35,2.0,1.0,0,0,1,0
6,328,328,8,-21,-67,-5,-50,60,-61,14,-35,30,27,27,20,27,1.0,1.0,0,0,0,0
343,159,159,-25,-27,-35,-78,-10,-5,-17,-17,-38,-43,45,35,50,60,0.25,2.0,0,1,1,0
509,574,574,-30,-78,-13,-38,57,-51,-43,-55,-3,-15,48,53,-22,53,2.0,0.5,0,0,1,0
546,530,546,105,20,-35,55,-35,45,-15,75,-15,75,0,-50,-35,-85,2.0,2.0,1,0,0,1
486,229,229,-3,-41,16,24,36,-32,-11,19,-1,9,14,63,-61,-12,0.5,1.0,0,0,1,0
686,213,213,-50,20,-40,-20,-90,-5,-25,-10,-90,-55,-5,20,20,15,1.0,0.5,0,0,1,0
304,386,386,-16,-50,-10,-18,2,-5,-10,-19,12,1,50,47,28,35,1.0,2.0,0,0,1,0
514,732,732,-8,-11,44,56,21,-66,-1,-8,61,52,-34,11,-16,4,2.0,2.0,0,0,1,0
161,757,161,8,30,12,33,24,25,31,31,24,17,-11,-7,-33,-24,1.0,1.0,0,0,0,1
150,265,265,-65,-35,-15,0,-60,-50,-75,-60,-25,-10,-25,40,35,55,1.0,1.0,0,1,1,0
436,701,701,-47,-71,-46,-14,-46,-47,-32,-33,-32,-33,85,85,28,28,0.5,2.0,0,1,1,0
221,265,265,-25,15,25,-30,-55,-45,-25,-10,-55,-40,-65,0,30,15,1.0,1.0,0,1,1,0
436,603,603,-31,-45,-36,-12,-36,-31,-22,-17,-22,-17,59,59,26,26,4.0,0.5,0,0,1,0
242,365,242,-10,25,-25,25,-40,15,5,20,-10,20,5,5,5,5,1.0,1.0,0,0,0,1
792,251,792,-5,10,20,57,40,83,10,-20,57,7,-20,-25,-40,-45,1.0,0.0,0,0,0,1
607,295,607,-20,-23,10,-23,-20,16,-23,-33,-33,-23,-10,10,10,20,2.0,0.5,0,0,0,1
439,209,209,-12,-14,8,-14,11,-55,6,-14,16,-4,12,12,19,22,1.0,1.0,0,0,1,0
657,360,657,5,-53,5,12,5,55,2,2,12,12,50,50,-5,-5,1.0,1.0,0,0,0,1
436,40,40,-37,-44,-33,-27,-31,-24,-19,-23,-17,-23,58,58,41,41,1.0,2.0,0,0,1,0
325,408,408,-15,-50,-55,-25,-15,0,-55,-20,-15,-30,50,45,25,10,1.0,1.0,0,0,0,0
472,89,472,50,65,-4,-35,11,70,30,75,5,35,-31,-40,29,20,0.5,1.0,0,0,0,1
71,777,71,-35,-50,-25,25,-55,40,-20,-40,-15,45,55,45,15,55,1.0,1.0,0,0,0,1
47,615,47,-30,-45,-10,15,-5,5,0,-25,-15,-40,55,50,-25,-25,1.0,1.0,0,0,0,1
5,670,5,-21,12,-17,-35,-10,10,-8,-8,0,0,-3,1,45,56,0.5,1.0,0,0,0,1
793,314,314,-24,-29,-5,36,33,-1,31,-19,66,-19,65,34,-3,-31,1.0,1.0,1,0,1,0
195,461,195,10,-14,-40,11,-35,9,-40,-5,-15,20,14,-1,9,-1,1.0,1.0,0,0,0,1
493,568,493,-17,-20,-25,5,-35,2,0,5,-40,-35,45,42,-10,-23,1.0,1.0,0,0,0,1
400,341,341,30,10,30,-10,-5,-50,20,0,0,15,-20,-40,15,-5,1.0,2.0,0,0,1,0
63,297,63,25,65,10,30,40,65,55,65,30,20,-20,-25,-40,-35,1.0,1.0,0,0,0,1
541,446,541,21,35,60,95,40,19,60,41,90,71,-35,-15,-45,-45,1.0,1.0,1,0,0,1
141,152,141,65,45,-11,5,55,26,35,95,15,30,1,-15,-45,-40,2.0,2.0,0,0,0,1
54,115,115,10,-65,-3,5,-55,-42,2,5,-70,-10,70,60,-20,-25,1.0,0.25,0,0,1,0
378,161,161,5,-43,12,-9,17,-47,-24,-20,-9,0,7,18,-17,4,1.0,1.0,0,0,1,0
224,316,316,14,-5,155,5,15,-130,40,24,5,-6,-110,15,-15,-25,1.0,0.5,0,0,1,0
311,398,398,-20,10,0,-60,-20,-30,50,50,-20,-20,40,60,60,60,2.0,2.0,0,0,1,0
298,35,298,15,23,-12,20,0,19,18,15,20,5,7,-23,0,-30,1.0,2.0,0,0,0,1
356,132,356,30,40,75,-15,-50,-70,20,45,-35,45,-95,-25,30,30,1.0,1.0,0,0,1,1
103,370,103,-10,10,15,75,10,60,0,-5,85,100,-25,-5,0,35,2.0,2.0,0,0,0,1
503,453,503,10,20,45,-65,-30,5,25,30,-45,0,-40,0,50,55,2.0,0.5,0,0,0,1
600,598,600,-30,30,0,-55,0,11,50,20,-45,-75,20,20,10,10,1.0,1.0,0,0,0,1
445,45,445,-56,0,20,-10,15,11,25,-70,10,-80,5,-14,5,-14,1.0,1.0,0,0,0,1
360,548,548,-35,20,-35,-35,-35,-70,20,20,-35,-35,35,35,35,35,1.0,2.0,0,0,1,0
303,133,133,-10,-60,20,30,-10,-40,-30,-20,5,15,10,50,-15,-5,2.0,1.0,0,0,1,0
51,331,51,25,10,-15,70,50,20,-20,30,70,60,-15,-5,-50,-35,1.0,1.0,0,0,0,1
171,559,171,-32,-29,3,10,10,25,9,-26,25,-10,35,35,5,12,0.5,1.0,0,0,0,1
758,129,758,6,0,23,3,-5,5,27,12,-12,-12,4,6,-10,-21,1.0,1.0,0,0,0,1
6,255,6,3,44,23,60,20,5,29,9,35,25,-38,-38,-45,-38,1.0,1.0,0,0,0,1
698,154,154,-25,-20,-10,-10,-20,-70,20,5,-25,-30,50,50,5,5,1.0,4.0,0,0,1,0
92,491,491,-15,-7,-63,-57,-73,40,-23,35,-73,-15,47,57,57,57,1.0,1.0,0,0,0,0
381,73,381,5,45,50,35,45,10,75,55,35,0,-20,5,-45,-40,0.5,1.0,0,0,0,1
354,271,271,-36,-30,-20,-5,-79,-50,10,-6,-49,-1,60,60,35,40,2.0,1.0,0,1,1,0
